index;2sents_before_after;1sent_before_after;ctx_before2;ctx_before2_speaker;ctx_before1;ctx_before1_speaker;question;question_speaker;ctx_after1;ctx_after1_speaker;ctx_after2;ctx_after2_speaker;label
399;And the church actually doles the money out in weekly amounts in order to keep complete control over the paper. Now, you say that after you were first hired, that you were coerced into attending a Unification Church weekend in New York. What happened during that weekend? Well, I was told that it would be very -- -very good for me to go- to this, what I was originally told was a peace festival, and it would be a business expense, a trip. Perhaps I had to cover it -- I wasnt quite sure of this assignment -- by Thomas McDevitt, who was the president and publisher at the time.;Now, you say that after you were first hired, that you were coerced into attending a Unification Church weekend in New York. What happened during that weekend? Well, I was told that it would be very -- -very good for me to go- to this, what I was originally told was a peace festival, and it would be a business expense, a trip.;And the church actually doles the money out in weekly amounts in order to keep complete control over the paper.;MINITER;Now, you say that after you were first hired, that you were coerced into attending a Unification Church weekend in New York.;HOWARD KURTZ;What happened during that weekend?;HOWARD KURTZ;Well, I was told that it would be very -- -very good for me to go- to this, what I was originally told was a peace festival, and it would be a business expense, a trip.;MINITER;Perhaps I had to cover it -- I wasnt quite sure of this assignment -- by Thomas McDevitt, who was the president and publisher at the time.;MINITER;Deliberative
400;David Remnick, welcome. Hi, Howie. You set out to do a biography of a president whos a pretty good writer and whos already written two memoirs, especially the evocative tale of growing up, -Dreams From My Father.-      How do you deal with that when your subject has gotten there first? Well, the same way a biographer did of Benjamin Franklin, who wrote the autobiography of Benjamin Franklin. Then along come many scholarly biographers.;Hi, Howie. You set out to do a biography of a president whos a pretty good writer and whos already written two memoirs, especially the evocative tale of growing up, -Dreams From My Father.-      How do you deal with that when your subject has gotten there first? Well, the same way a biographer did of Benjamin Franklin, who wrote the autobiography of Benjamin Franklin.;David Remnick, welcome.;HOWARD KURTZ;Hi, Howie.;DAVID REMNICK;You set out to do a biography of a president whos a pretty good writer and whos already written two memoirs, especially the evocative tale of growing up, -Dreams From My Father.-      How do you deal with that when your subject has gotten there first?;HOWARD KURTZ;Well, the same way a biographer did of Benjamin Franklin, who wrote the autobiography of Benjamin Franklin.;DAVID REMNICK;Then along come many scholarly biographers.;DAVID REMNICK;Deliberative
401;And Frank Sesno, youve been in TV news a long time. You can get an interview with Carol Browner. Why do you want to go out and collect these videos? Because I think that citizens can take us some place other than just by posing through their questions that they pose, but maybe raise issues and take us into answers that they live or that they research. And thats what we were trying to do there, and then bring those citizens together with the decision-makers and let them press the decision-makers for some of those answers.;You can get an interview with Carol Browner. Why do you want to go out and collect these videos? Because I think that citizens can take us some place other than just by posing through their questions that they pose, but maybe raise issues and take us into answers that they live or that they research.;And Frank Sesno, youve been in TV news a long time.;HOWARD KURTZ;You can get an interview with Carol Browner.;HOWARD KURTZ;Why do you want to go out and collect these videos?;HOWARD KURTZ;Because I think that citizens can take us some place other than just by posing through their questions that they pose, but maybe raise issues and take us into answers that they live or that they research.;SESNO;And thats what we were trying to do there, and then bring those citizens together with the decision-makers and let them press the decision-makers for some of those answers.;SESNO;Deliberative
402;Is the press right to be reacting so skeptically? Well, sure, because nothing in Congress has happened in a bipartisan year for the first year of the Obama White House, no major legislation that has passed has done so in any bipartisan roll call. So, this upcoming February 25th bipartisan meeting that Obama is calling is a chance to see, once again -- and I guess the press will evaluate -- is it real bipartisanship or just some kind of a showcase? Or a big photo-op, or the appearance of bipartisanship. Debra Saunders, the tone in the media about the Republicans, it seems to me, is that this is the party of no, and the leaders arent really interested in a deal on anything, even a quick compromise jobs bill collapse.;Well, sure, because nothing in Congress has happened in a bipartisan year for the first year of the Obama White House, no major legislation that has passed has done so in any bipartisan roll call. So, this upcoming February 25th bipartisan meeting that Obama is calling is a chance to see, once again -- and I guess the press will evaluate -- is it real bipartisanship or just some kind of a showcase? Or a big photo-op, or the appearance of bipartisanship.;Is the press right to be reacting so skeptically?;KURTZ, HOST (voice-over);Well, sure, because nothing in Congress has happened in a bipartisan year for the first year of the Obama White House, no major legislation that has passed has done so in any bipartisan roll call.;LYNN SWEET, WASHINGTON BUREAU CHIEF, -CHICAGO SUN-TIMES;So, this upcoming February 25th bipartisan meeting that Obama is calling is a chance to see, once again -- and I guess the press will evaluate -- is it real bipartisanship or just some kind of a showcase?;KURTZ, HOST (voice-over);Or a big photo-op, or the appearance of bipartisanship.;KURTZ, HOST (voice-over);Debra Saunders, the tone in the media about the Republicans, it seems to me, is that this is the party of no, and the leaders arent really interested in a deal on anything, even a quick compromise jobs bill collapse.;KURTZ, HOST (voice-over);OTHERS
403;On this same topic, Glenn Beck has become an influential and certainly divisive figure after that Lincoln Memorial rally, that huge rally. Do you see him as something of a cultural phenomenon? Whats your take? Well, I do. I think that hes a fascinating demagogue, actually.;Do you see him as something of a cultural phenomenon? Whats your take? Well, I do.;On this same topic, Glenn Beck has become an influential and certainly divisive figure after that Lincoln Memorial rally, that huge rally.;HOWARD KURTZ;Do you see him as something of a cultural phenomenon?;HOWARD KURTZ;Whats your take?;HOWARD KURTZ;Well, I do.;TINA BROWN;I think that hes a fascinating demagogue, actually.;TINA BROWN;Deliberative
404;Coming up in the second half of RELIABLE SOURCES, Clintons comeback. Bill Clinton brings back two journalists from North Korean captivity and the talk is about the Clintons marriage? And do Laura Ling and Euna Lee bear some responsibility for what happened? Plus, Twitter trouble. ESPN slaps severe restrictions on what its sportswriters can say in their tweets, and some NFL teams ban it altogether.;Bill Clinton brings back two journalists from North Korean captivity and the talk is about the Clintons marriage? And do Laura Ling and Euna Lee bear some responsibility for what happened? Plus, Twitter trouble.;Coming up in the second half of RELIABLE SOURCES, Clintons comeback.;HOWARD KURTZ;Bill Clinton brings back two journalists from North Korean captivity and the talk is about the Clintons marriage?;HOWARD KURTZ;And do Laura Ling and Euna Lee bear some responsibility for what happened?;HOWARD KURTZ;Plus, Twitter trouble.;HOWARD KURTZ;ESPN slaps severe restrictions on what its sportswriters can say in their tweets, and some NFL teams ban it altogether.;HOWARD KURTZ;Rhetorical
405;What about the journalistic chatter about whether, based on this mission, there would be a thaw in U.S. relations with North Korea, the nuclear talks would resume? Do we really know? Isnt that so much journalistic speculation? At this point what the administration is saying is that it is not changing its tone. Its six-party talks or nothing.;Do we really know? Isnt that so much journalistic speculation? At this point what the administration is saying is that it is not changing its tone.;What about the journalistic chatter about whether, based on this mission, there would be a thaw in U.S. relations with North Korea, the nuclear talks would resume?;HOWARD KURTZ;Do we really know?;HOWARD KURTZ;Isnt that so much journalistic speculation?;HOWARD KURTZ;At this point what the administration is saying is that it is not changing its tone.;KIMBERLY DOZIER;Its six-party talks or nothing.;KIMBERLY DOZIER;Deliberative
406;I cant show you the same -- Im a photographer. Once I show you the same photo 10 times, youre going to say, John, show me your photo. Dennis? What youre saying, John, really doesnt contradict what Im saying in that if there isnt drama to be shown, television news doesnt cover it. I agree with you.;Once I show you the same photo 10 times, youre going to say, John, show me your photo. Dennis? What youre saying, John, really doesnt contradict what Im saying in that if there isnt drama to be shown, television news doesnt cover it.;I cant show you the same -- Im a photographer.;JOHN ARAVOSIS;Once I show you the same photo 10 times, youre going to say, John, show me your photo.;JOHN ARAVOSIS;Dennis?;HOWARD KURTZ;What youre saying, John, really doesnt contradict what Im saying in that if there isnt drama to be shown, television news doesnt cover it.;DENNIS PRAGER;I agree with you.;DENNIS PRAGER;OTHERS
407;Help us understand why we care about it. But five straight hours? Im sorry? Go ahead. Five straight hours?;But five straight hours? Im sorry? Go ahead.;Help us understand why we care about it.;DAVID ZURAWIK;But five straight hours?;DIMOND;Im sorry?;KURTZ, HOST (voice over);Go ahead.;KURTZ, HOST (voice over);Five straight hours?;DIMOND;OTHERS
408;I think they look like whiners. I think that it is fair to say that Media Matters, the liberal watchdog group, did a compilation tape that does show that there has been a campaign to say Obama was a socialist, a communist, a racist, on news, as well as on commentary. When you appeared regularly on OReilly, were you there as a token from the dreaded MSM? Well, I was there as a defender of the MSM. And you wouldnt believe how many famous journalists I talked to, who said better you than me.;I think that it is fair to say that Media Matters, the liberal watchdog group, did a compilation tape that does show that there has been a campaign to say Obama was a socialist, a communist, a racist, on news, as well as on commentary. When you appeared regularly on OReilly, were you there as a token from the dreaded MSM? Well, I was there as a defender of the MSM.;I think they look like whiners.;JANE HALL;I think that it is fair to say that Media Matters, the liberal watchdog group, did a compilation tape that does show that there has been a campaign to say Obama was a socialist, a communist, a racist, on news, as well as on commentary.;JANE HALL;When you appeared regularly on OReilly, were you there as a token from the dreaded MSM?;HOWARD KURTZ;Well, I was there as a defender of the MSM.;JANE HALL;And you wouldnt believe how many famous journalists I talked to, who said better you than me.;JANE HALL;ISQ
409;Were news organizations used to hype the plot to bomb Kennedy airport when those arrested had no explosives or anything else? Debatable. Is the press too quick to pick winners and losers in these presidential showdowns? And the candidates pushing back against some of CNNs questions. Plus, Stray Rod.;Debatable. Is the press too quick to pick winners and losers in these presidential showdowns? And the candidates pushing back against some of CNNs questions.;Were news organizations used to hype the plot to bomb Kennedy airport when those arrested had no explosives or anything else?;KURTZ, HOST (voice over);Debatable.;KURTZ, HOST (voice over);Is the press too quick to pick winners and losers in these presidential showdowns?;KURTZ, HOST (voice over);And the candidates pushing back against some of CNNs questions.;KURTZ, HOST (voice over);Plus, Stray Rod.;KURTZ, HOST (voice over);Deliberative
410;Why do you think when asked on a number of occasions, people simply say theyre not sure if they like Hillary Clinton. Well because shes the only person running who for 15 years has been regularly hit by the swift boat tactics of the Republicans. Some days I get a call from around the country saying, you realize Im 15 years older than you were when you did this? I said, well, nobody made you run, girl. I like what I hear.;Well because shes the only person running who for 15 years has been regularly hit by the swift boat tactics of the Republicans. Some days I get a call from around the country saying, you realize Im 15 years older than you were when you did this? I said, well, nobody made you run, girl.;Why do you think when asked on a number of occasions, people simply say theyre not sure if they like Hillary Clinton.;UNIDENTIFIED MALE;Well because shes the only person running who for 15 years has been regularly hit by the swift boat tactics of the Republicans.;BILL CLINTON;Some days I get a call from around the country saying, you realize Im 15 years older than you were when you did this?;BILL CLINTON;I said, well, nobody made you run, girl.;BILL CLINTON;I like what I hear.;BILL CLINTON;OTHERS
411;So, moving on here, Edward, let me start with you. Theres so much competition now in cable news, including planned or already on the air networks from China, Russia, Univision with ABC, Fox just started a sports network. Is there room for another news network? I think its a great time to launch. I mean, just this week -Vice-, which used to be a Canadian music magazine was valued somewhere close to the valuation of -the New York Times- courts the business sites, its U.S. traffic this week passed that of -The Economists- in the U.S.      At -TIME-, where I work, we just launched an interactive film unit called -Red Border Films.-  Theres so much ferment and excitement.;Theres so much competition now in cable news, including planned or already on the air networks from China, Russia, Univision with ABC, Fox just started a sports network. Is there room for another news network? I think its a great time to launch.;So, moving on here, Edward, let me start with you.;JOANNE LIPMAN;Theres so much competition now in cable news, including planned or already on the air networks from China, Russia, Univision with ABC, Fox just started a sports network.;JOANNE LIPMAN;Is there room for another news network?;JOANNE LIPMAN;I think its a great time to launch.;EDWARD FELSENTHAL;I mean, just this week -Vice-, which used to be a Canadian music magazine was valued somewhere close to the valuation of -the New York Times- courts the business sites, its U.S. traffic this week passed that of -The Economists- in the U.S.      At -TIME-, where I work, we just launched an interactive film unit called -Red Border Films.-  Theres so much ferment and excitement.;EDWARD FELSENTHAL;Deliberative
412;You just let it all hang out there. Im an honest guy. I mean, listen, you know me for how long? A long time. I dont mince words.;Im an honest guy. I mean, listen, you know me for how long? A long time.;You just let it all hang out there.;HOWARD KURTZ;Im an honest guy.;CHARLES GASPARINO;I mean, listen, you know me for how long?;CHARLES GASPARINO;A long time.;HOWARD KURTZ;I dont mince words.;CHARLES GASPARINO;Deliberative
413;And in a twist that some folks are likening to Glenn Closes role in -Fatal Attraction,- Brooke Hundley repeatedly called Phillips wife, drove to her Connecticut home, smashed into a stone column before speeding away. New York Post also published a letter that Hundley wrote to Phillips wife Marni, saying the TV commentator hasnt been honest with you, and even describing one of his physical characteristics. So has this sort of behavior become acceptable in the television world and the sports culture? Joining us now from Cincinnati, Gregg Doyel, columnist for cbssportsline.com. And here in Washington, Amy Argetsinger, co-author of the -Reliable Source- gossip column for the Washington Post.;New York Post also published a letter that Hundley wrote to Phillips wife Marni, saying the TV commentator hasnt been honest with you, and even describing one of his physical characteristics. So has this sort of behavior become acceptable in the television world and the sports culture? Joining us now from Cincinnati, Gregg Doyel, columnist for cbssportsline.com.;And in a twist that some folks are likening to Glenn Closes role in -Fatal Attraction,- Brooke Hundley repeatedly called Phillips wife, drove to her Connecticut home, smashed into a stone column before speeding away.;HOWARD KURTZ;New York Post also published a letter that Hundley wrote to Phillips wife Marni, saying the TV commentator hasnt been honest with you, and even describing one of his physical characteristics.;HOWARD KURTZ;So has this sort of behavior become acceptable in the television world and the sports culture?;HOWARD KURTZ;Joining us now from Cincinnati, Gregg Doyel, columnist for cbssportsline.com.;HOWARD KURTZ;And here in Washington, Amy Argetsinger, co-author of the -Reliable Source- gossip column for the Washington Post.;HOWARD KURTZ;Deliberative
414;If Aereo loses in Supreme Court, its over. Yes. Do you think it will lose? I think theres a 50 percent chance it will lose, of course. Yes.;Yes. Do you think it will lose? I think theres a 50 percent chance it will lose, of course.;If Aereo loses in Supreme Court, its over.;BRIAN STELTER;Yes.;BARRY DILLER;Do you think it will lose?;BRIAN STELTER;I think theres a 50 percent chance it will lose, of course.;BARRY DILLER;Yes.;BARRY DILLER;Deliberative
415;For other people, they actually might not even remember which title said what. So, to clarify in the readers mind, and since it is an increasingly competitive category of magazines, that became important. Whose idea was this campaign in the first place? It was born out of a conversation between Jann Wenner, who owns -US- magazine and -- between the two of us. And he - you know, its funny.;So, to clarify in the readers mind, and since it is an increasingly competitive category of magazines, that became important. Whose idea was this campaign in the first place? It was born out of a conversation between Jann Wenner, who owns -US- magazine and -- between the two of us.;For other people, they actually might not even remember which title said what.;JANICE MIN;So, to clarify in the readers mind, and since it is an increasingly competitive category of magazines, that became important.;JANICE MIN;Whose idea was this campaign in the first place?;KURTZ, HOST (voice over);It was born out of a conversation between Jann Wenner, who owns -US- magazine and -- between the two of us.;JANICE MIN;And he - you know, its funny.;JANICE MIN;ISQ
416;Right. And Britney and her antics, and so forth. Is there something out there that we are trying to tap into where people love to hate this airhead heiress, as -The New York Daily News- called her? In other words, these days you cant hate any ethnic group, you cant hate just about anybody, but can you hate Paris Hilton. Right.;And Britney and her antics, and so forth. Is there something out there that we are trying to tap into where people love to hate this airhead heiress, as -The New York Daily News- called her? In other words, these days you cant hate any ethnic group, you cant hate just about anybody, but can you hate Paris Hilton.;Right.;BLANQUITA CULLUM;And Britney and her antics, and so forth.;KURTZ, HOST (voice over);Is there something out there that we are trying to tap into where people love to hate this airhead heiress, as -The New York Daily News- called her?;KURTZ, HOST (voice over);In other words, these days you cant hate any ethnic group, you cant hate just about anybody, but can you hate Paris Hilton.;KURTZ, HOST (voice over);Right.;BLANQUITA CULLUM;Deliberative
417;-The Today Show,- for example, did two very long segments on Jon and Kate. And you wonder what is going through Meredith Vieiras mind, a very intelligent, serious newswoman, as she continues to ask Kate questions like why is she still wearing her ring, who instigated the divorce. I mean, what have we become? We are fiddling while Rome burns, covering these stories ad nauseum. All right, David Zurawik, what was going through Meredith Vieiras mind, and why does this warrant time on -The Today Show,- which is a very fine news program?;And you wonder what is going through Meredith Vieiras mind, a very intelligent, serious newswoman, as she continues to ask Kate questions like why is she still wearing her ring, who instigated the divorce. I mean, what have we become? We are fiddling while Rome burns, covering these stories ad nauseum.;-The Today Show,- for example, did two very long segments on Jon and Kate.;LISA BLOOM;And you wonder what is going through Meredith Vieiras mind, a very intelligent, serious newswoman, as she continues to ask Kate questions like why is she still wearing her ring, who instigated the divorce.;LISA BLOOM;I mean, what have we become?;LISA BLOOM;We are fiddling while Rome burns, covering these stories ad nauseum.;LISA BLOOM;All right, David Zurawik, what was going through Meredith Vieiras mind, and why does this warrant time on -The Today Show,- which is a very fine news program?;HOWARD KURTZ;Rhetorical
418;But you know that, you know, whether you like it or not, a significant portion of the country opposes gay marriage. In fact, President Obama opposes gay marriage. Should all of the people who have that position -- all of the women, I should say -- be disqualified from beauty pageants? Well, you mention President Obama, but when he says that, he says he believes marriage is between a man and a woman. However, he also says that he believes gay and lesbian couples should have the same rights as heterosexual couples.;In fact, President Obama opposes gay marriage. Should all of the people who have that position -- all of the women, I should say -- be disqualified from beauty pageants? Well, you mention President Obama, but when he says that, he says he believes marriage is between a man and a woman.;But you know that, you know, whether you like it or not, a significant portion of the country opposes gay marriage.;KURTZ;In fact, President Obama opposes gay marriage.;KURTZ;Should all of the people who have that position -- all of the women, I should say -- be disqualified from beauty pageants?;KURTZ;Well, you mention President Obama, but when he says that, he says he believes marriage is between a man and a woman.;HILTON;However, he also says that he believes gay and lesbian couples should have the same rights as heterosexual couples.;HILTON;Deliberative
419;Why is that? I think America is bored of the topic a little bit in the sense that this is, what, the fourth or fifth state where weve now had gay marriage legalized, if you count California. There is only so many news stories you can do showing guys in tuxes, and what does it really mean, and will the world fall apart, are the locusts going to come and swarm us? If there were locusts, there would be news, but honestly, its funny, I predict about a year ago on your show that, if California got repealed, gay marriage in California, the media would go crazy on that story. And they did.;I think America is bored of the topic a little bit in the sense that this is, what, the fourth or fifth state where weve now had gay marriage legalized, if you count California. There is only so many news stories you can do showing guys in tuxes, and what does it really mean, and will the world fall apart, are the locusts going to come and swarm us? If there were locusts, there would be news, but honestly, its funny, I predict about a year ago on your show that, if California got repealed, gay marriage in California, the media would go crazy on that story.;Why is that?;HOWARD KURTZ;I think America is bored of the topic a little bit in the sense that this is, what, the fourth or fifth state where weve now had gay marriage legalized, if you count California.;JOHN ARAVOSIS;There is only so many news stories you can do showing guys in tuxes, and what does it really mean, and will the world fall apart, are the locusts going to come and swarm us?;JOHN ARAVOSIS;If there were locusts, there would be news, but honestly, its funny, I predict about a year ago on your show that, if California got repealed, gay marriage in California, the media would go crazy on that story.;JOHN ARAVOSIS;And they did.;JOHN ARAVOSIS;Rhetorical
420;Youre looking for the voices who are -- who are supporters of the war but who are not politically so involved with it that they need to spin a line. And there were those voices. Let me pull back a little bit, Justin Webb, and ask you, at least until recently, what are the differences -- what have been the differences between the way that the British media and American media have covered this war in Iraq? The British media has decided that it was a disaster, and the British media decided that pretty much amongst itself some time ago. And the British public decided it some time ago.;And there were those voices. Let me pull back a little bit, Justin Webb, and ask you, at least until recently, what are the differences -- what have been the differences between the way that the British media and American media have covered this war in Iraq? The British media has decided that it was a disaster, and the British media decided that pretty much amongst itself some time ago.;Youre looking for the voices who are -- who are supporters of the war but who are not politically so involved with it that they need to spin a line.;JUSTIN WEBB;And there were those voices.;JUSTIN WEBB;Let me pull back a little bit, Justin Webb, and ask you, at least until recently, what are the differences -- what have been the differences between the way that the British media and American media have covered this war in Iraq?;KURTZ, HOST (voice over);The British media has decided that it was a disaster, and the British media decided that pretty much amongst itself some time ago.;JUSTIN WEBB;And the British public decided it some time ago.;JUSTIN WEBB;Deliberative
421;Why not move on? Why not move on? Whats she going to move on to at this point? I mean, look, her support is dropping even among the base. She needs to get people fired up.;Why not move on? Whats she going to move on to at this point? I mean, look, her support is dropping even among the base.;Why not move on?;HOWARD KURTZ;Why not move on?;COTTLE;Whats she going to move on to at this point?;COTTLE;I mean, look, her support is dropping even among the base.;COTTLE;She needs to get people fired up.;COTTLE;Rhetorical
422;So what accounts for that? I think some of what beats people are assigned to. Where are the beats that are generating front page stories and who are in those beats? Many times -- and this is just a long time thing in newspapers -- many of the women are still in the styles, culture, the so-called softer areas of the paper. Those things may get onto the front page less often.;I think some of what beats people are assigned to. Where are the beats that are generating front page stories and who are in those beats? Many times -- and this is just a long time thing in newspapers -- many of the women are still in the styles, culture, the so-called softer areas of the paper.;So what accounts for that?;JOANNE LIPMAN;I think some of what beats people are assigned to.;MARGARET SULLIVAN;Where are the beats that are generating front page stories and who are in those beats?;MARGARET SULLIVAN;Many times -- and this is just a long time thing in newspapers -- many of the women are still in the styles, culture, the so-called softer areas of the paper.;MARGARET SULLIVAN;Those things may get onto the front page less often.;MARGARET SULLIVAN;Rhetorical
423;Shes a 42-year-old California mother and a childrens book illustrator who has this very anti-Obama side. Shes not affiliated with any large or political group. Doesnt she have the right to speak out? Of course she does. And we have the right to correct the information.;Shes not affiliated with any large or political group. Doesnt she have the right to speak out? Of course she does.;Shes a 42-year-old California mother and a childrens book illustrator who has this very anti-Obama side.;HOWARD KURTZ;Shes not affiliated with any large or political group.;HOWARD KURTZ;Doesnt she have the right to speak out?;HOWARD KURTZ;Of course she does.;DOUGLASS;And we have the right to correct the information.;DOUGLASS;Deliberative
424;Are journalists too quick to play along? FOX News beats the drum on William Ayers. How much is too much? Plus, sinking series. Why baseballs biggest contest isnt scoring with the media.;FOX News beats the drum on William Ayers. How much is too much? Plus, sinking series.;Are journalists too quick to play along?;KURTZ, HOST (voice-over);FOX News beats the drum on William Ayers.;KURTZ, HOST (voice-over);How much is too much?;KURTZ, HOST (voice-over);Plus, sinking series.;KURTZ, HOST (voice-over);Why baseballs biggest contest isnt scoring with the media.;KURTZ, HOST (voice-over);Deliberative
425;The poor media. So sad for us. How did the Leno thing work out? I think its safe to say that the honeymoon with the media with Fred Thompson is over. But we knew that that was going to happen.;So sad for us. How did the Leno thing work out? I think its safe to say that the honeymoon with the media with Fred Thompson is over.;The poor media.;BORGER;So sad for us.;BORGER;How did the Leno thing work out?;HOWARD KURTZ;I think its safe to say that the honeymoon with the media with Fred Thompson is over.;AMY HOLMES;But we knew that that was going to happen.;AMY HOLMES;ISQ
426;This was a phrase used by Sarah Palin in a Facebook entry. Specifically, she said she doesnt want an American, or her parents or baby with Down Syndrome had to go before Obamas death panel. Was there an instance where the media, rather than just saying he said this, she said that, kind of said to the former governor of Alaska, will you quit making things up? I mean, it basically was. But she, I think, opened the door to allowing people to do that.;Specifically, she said she doesnt want an American, or her parents or baby with Down Syndrome had to go before Obamas death panel. Was there an instance where the media, rather than just saying he said this, she said that, kind of said to the former governor of Alaska, will you quit making things up? I mean, it basically was.;This was a phrase used by Sarah Palin in a Facebook entry.;HOWARD KURTZ;Specifically, she said she doesnt want an American, or her parents or baby with Down Syndrome had to go before Obamas death panel.;HOWARD KURTZ;Was there an instance where the media, rather than just saying he said this, she said that, kind of said to the former governor of Alaska, will you quit making things up?;HOWARD KURTZ;I mean, it basically was.;JEFF ZELENY;But she, I think, opened the door to allowing people to do that.;JEFF ZELENY;ISQ
427;Well, it is exciting, and that is a kind of tabloidy show. And you hope -- theres a part I think of every journalists mind that sort of hopes for a big global reaction. One of the things I think we ought to be thinking a little bit about, though, is what is the precedent here that is being set? If were to agree that things that might offend people on the other side of the planet are not to be discussed, is Salman Rushdies book not to be discussed? Are the Danish cartoons not to be shown?;And you hope -- theres a part I think of every journalists mind that sort of hopes for a big global reaction. One of the things I think we ought to be thinking a little bit about, though, is what is the precedent here that is being set? If were to agree that things that might offend people on the other side of the planet are not to be discussed, is Salman Rushdies book not to be discussed?;Well, it is exciting, and that is a kind of tabloidy show.;DAVID FRUM;And you hope -- theres a part I think of every journalists mind that sort of hopes for a big global reaction.;DAVID FRUM;One of the things I think we ought to be thinking a little bit about, though, is what is the precedent here that is being set?;DAVID FRUM;If were to agree that things that might offend people on the other side of the planet are not to be discussed, is Salman Rushdies book not to be discussed?;DAVID FRUM;Are the Danish cartoons not to be shown?;DAVID FRUM;Rhetorical
428;Shes 24 years younger than the former senator. With that analogy, they shouldnt focus on Bill Clinton in Hillarys campaign. You cant focus on spouses? Well Hillary is wheeling him out to campaign events, I think we can. He was former president of the United States, by the way.;With that analogy, they shouldnt focus on Bill Clinton in Hillarys campaign. You cant focus on spouses? Well Hillary is wheeling him out to campaign events, I think we can.;Shes 24 years younger than the former senator.;HOWARD KURTZ;With that analogy, they shouldnt focus on Bill Clinton in Hillarys campaign.;RYAN LIZZA;You cant focus on spouses?;RYAN LIZZA;Well Hillary is wheeling him out to campaign events, I think we can.;AMY HOLMES;He was former president of the United States, by the way.;AMY HOLMES;OTHERS
429;And I think its OK to talk about it. Well, in fact -- let me just jump in here, Keli. Tom Brokaw asked Powell, could people say this is one African- American endorsing another? And Powell said, look, it would be electrifying for the country and the world were Barack Obama to be elected, but he was very specific in listing all of his complaints about McCains campaign, including quite sharply the selection of Sarah Palin. So I dont see how that makes it all about race.;Well, in fact -- let me just jump in here, Keli. Tom Brokaw asked Powell, could people say this is one African- American endorsing another? And Powell said, look, it would be electrifying for the country and the world were Barack Obama to be elected, but he was very specific in listing all of his complaints about McCains campaign, including quite sharply the selection of Sarah Palin.;And I think its OK to talk about it.;AMANDA CARPENTER;Well, in fact -- let me just jump in here, Keli.;KURTZ, HOST (voice-over);Tom Brokaw asked Powell, could people say this is one African- American endorsing another?;KURTZ, HOST (voice-over);And Powell said, look, it would be electrifying for the country and the world were Barack Obama to be elected, but he was very specific in listing all of his complaints about McCains campaign, including quite sharply the selection of Sarah Palin.;KURTZ, HOST (voice-over);So I dont see how that makes it all about race.;KURTZ, HOST (voice-over);OTHERS
430;Well, thats an illegal and illicit request, Howie. Im not trying to minimize it. And who the heck does that? You previously led a group of authors in a suit against Regnery Publishing. Sure.;Im not trying to minimize it. And who the heck does that? You previously led a group of authors in a suit against Regnery Publishing.;Well, thats an illegal and illicit request, Howie.;MINITER;Im not trying to minimize it.;KURTZ;And who the heck does that?;MINITER;You previously led a group of authors in a suit against Regnery Publishing.;HOWARD KURTZ;Sure.;MINITER;Rhetorical
431;Lola liked that answer. When the president and first lady travel abroad, Lola, the press fixes on Michelle and Carla Bruni. What did they talk about? What were they wearing? And that seems to make up a significant part of the coverage, even though we have the first lady in the traditional role of ambassador to a foreign nation.;When the president and first lady travel abroad, Lola, the press fixes on Michelle and Carla Bruni. What did they talk about? What were they wearing?;Lola liked that answer.;KURTZ, HOST (voice-over);When the president and first lady travel abroad, Lola, the press fixes on Michelle and Carla Bruni.;KURTZ, HOST (voice-over);What did they talk about?;KURTZ, HOST (voice-over);What were they wearing?;KURTZ, HOST (voice-over);And that seems to make up a significant part of the coverage, even though we have the first lady in the traditional role of ambassador to a foreign nation.;KURTZ, HOST (voice-over);Deliberative
432;In the interview with the woman from CBS, he said, yes, I stayed there. How many nights did you stay there? Did you stay there for weeks at a time? Did you stay one night on occasion? Did the governor know when you were staying there?;How many nights did you stay there? Did you stay there for weeks at a time? Did you stay one night on occasion?;In the interview with the woman from CBS, he said, yes, I stayed there.;DEBORAH NORVILLE;How many nights did you stay there?;DEBORAH NORVILLE;Did you stay there for weeks at a time?;DEBORAH NORVILLE;Did you stay one night on occasion?;DEBORAH NORVILLE;Did the governor know when you were staying there?;DEBORAH NORVILLE;Deliberative
433;And that got played all over television in the last few days, and that was obviously helpful to -The New York Times.-  And so we can also have a constructive relationship with the press. And I guess the third way would be, we do work to get retractions or apologies from and redress of situations where we feel that somethings been said thats false or wrong. So, what youre saying is, its perfectly normal, and that viewers, readers, they should be aware that groups like yours do provide basically raw material to reporters, but its ultimately the reporters who are the ones producing the content? Thats right. And there are conservative groups that are out there also trying to influence and shape media coverage.;And I guess the third way would be, we do work to get retractions or apologies from and redress of situations where we feel that somethings been said thats false or wrong. So, what youre saying is, its perfectly normal, and that viewers, readers, they should be aware that groups like yours do provide basically raw material to reporters, but its ultimately the reporters who are the ones producing the content? Thats right.;And that got played all over television in the last few days, and that was obviously helpful to -The New York Times.-  And so we can also have a constructive relationship with the press.;DAVID BROCK;And I guess the third way would be, we do work to get retractions or apologies from and redress of situations where we feel that somethings been said thats false or wrong.;DAVID BROCK;So, what youre saying is, its perfectly normal, and that viewers, readers, they should be aware that groups like yours do provide basically raw material to reporters, but its ultimately the reporters who are the ones producing the content?;BRIAN STELTER;Thats right.;DAVID BROCK;And there are conservative groups that are out there also trying to influence and shape media coverage.;DAVID BROCK;Deliberative
